iter	Logloss
0	0.6632641859
1	0.6405303239
2	0.6213583287
3	0.5999495612
4	0.5800804932
5	0.5647817549
6	0.5533155007
7	0.5407310464
8	0.5304933462
9	0.5211033497
10	0.5123997715
11	0.5052151099
12	0.4974335112
13	0.4912083905
14	0.4875565948
15	0.4796200137
16	0.4762160552
17	0.4718248455
18	0.4680843727
19	0.4646133977
20	0.461659301
21	0.4593813579
22	0.457401602
23	0.4548187589
24	0.4509590049
25	0.4490855558
26	0.4477187789
27	0.4453600047
28	0.443038121
29	0.4401664342
30	0.4383727349
31	0.4346582694
32	0.433181572
33	0.4314614354
34	0.4300777547
35	0.4279429962
36	0.4265499314
37	0.425381784
38	0.423593276
39	0.4226076421
40	0.4215777015
41	0.4201399318
42	0.4185834372
43	0.4173035404
44	0.4158456386
45	0.4146421943
46	0.4136461327
47	0.4126382104
48	0.4112419564
49	0.4105920405
50	0.4087880522
51	0.4081239094
52	0.4074257223
53	0.4062648005
54	0.4050496968
55	0.4046627345
56	0.4041543553
57	0.4030827089
58	0.4021074017
59	0.4008583327
60	0.4003562741
61	0.3999491053
62	0.3987811668
63	0.3983805151
64	0.397330246
65	0.3971630725
66	0.3967869084
67	0.3957324235
68	0.3954151468
69	0.3950864409
70	0.3945510474
71	0.3939120753
72	0.3930372491
73	0.3924668553
74	0.3919213408
75	0.3915012686
76	0.3910674316
77	0.3905587616
78	0.3901905485
79	0.389681416
80	0.3894355736
81	0.3891656742
82	0.3886055666
83	0.3883333743
84	0.3880388947
85	0.3874026365
86	0.386953242
87	0.3861076843
88	0.385706603
89	0.3853651549
90	0.3849296071
91	0.3841927569
92	0.3838856447
93	0.3835696845
94	0.383186542
95	0.3830626355
96	0.3823630939
97	0.3817005075
98	0.3812885409
99	0.3808990455
100	0.3807275158
101	0.3799599795
102	0.3796081735
103	0.3793771509
104	0.3788974327
105	0.3784637576
106	0.3781282967
107	0.3775643614
108	0.3770635186
109	0.3767905466
110	0.376405219
111	0.3760281181
112	0.375760181
113	0.3753509975
114	0.3752209829
115	0.374867004
116	0.374505223
117	0.3733095568
118	0.3728303683
119	0.3724830352
120	0.3721025532
121	0.371646163
122	0.3715471863
123	0.3712517288
124	0.3709165266
125	0.369763595
126	0.3694269062
127	0.3690313122
128	0.3684913439
129	0.3683285131
130	0.3680270493
131	0.3675293199
132	0.3670692921
133	0.3667297839
134	0.3661762871
135	0.3659531778
136	0.3657405223
137	0.3653451922
138	0.3650888838
139	0.3648268743
140	0.3644295166
141	0.364153247
142	0.3640044114
143	0.3638277978
144	0.3636280979
145	0.3633534925
146	0.3630349959
147	0.3627883736
148	0.3621647052
149	0.3619033732
150	0.3614285831
151	0.361056602
152	0.3608856047
153	0.3602938266
154	0.3599147913
155	0.3596840726
156	0.3595134474
157	0.3591486443
158	0.3589379271
159	0.3585114017
160	0.3582632639
161	0.3579916067
162	0.3576872668
163	0.3573911522
164	0.3571536701
165	0.3568876316
166	0.3566686825
167	0.3565370486
168	0.3563737671
169	0.3560852553
170	0.3557465265
171	0.3556100786
172	0.3551552132
173	0.3550083595
174	0.354836719
175	0.3545657061
176	0.3542763712
177	0.3536654653
178	0.3535619769
179	0.3532553242
180	0.3528497367
181	0.3526103025
182	0.3522832111
183	0.3519918411
184	0.3517291685
185	0.351130286
186	0.3508417987
187	0.3506896915
188	0.3504680979
189	0.3502193428
190	0.3500924543
191	0.3500047365
192	0.3498331709
193	0.3496623398
194	0.3493481573
195	0.3491671756
196	0.348907229
197	0.3485309635
198	0.348328204
199	0.3481348355
200	0.3478390397
201	0.3476482873
202	0.3474146512
203	0.3471495829
204	0.346934862
205	0.3467435455
206	0.3466246008
207	0.34641365
208	0.3461665079
209	0.3460441637
210	0.3458863489
211	0.3451253684
212	0.3448087725
213	0.3444538904
214	0.344344537
215	0.344074365
216	0.3438701077
217	0.3437073363
218	0.3433720571
219	0.3431887568
220	0.3431215555
221	0.3428017649
222	0.3425397428
223	0.3423124305
224	0.3421513366
225	0.341938889
226	0.3416871273
227	0.3413927714
228	0.3411888013
229	0.3409670641
230	0.340758649
231	0.3406522763
232	0.3404352589
233	0.3402824613
234	0.340199049
235	0.340084011
236	0.3399661603
237	0.3398654972
238	0.3395207768
239	0.3393928885
240	0.3391666916
241	0.3389663228
242	0.3387357504
243	0.3385465459
244	0.3383416732
245	0.338039312
246	0.3378079498
247	0.3376594756
248	0.3374155326
249	0.3372673144
250	0.3371955874
251	0.3369538861
252	0.3367505962
253	0.3364970139
254	0.3362003631
255	0.3360947677
256	0.3357287262
257	0.3355603039
258	0.3352763659
259	0.3351678618
