iter	Passed	Remaining
0	2	3205
1	4	3344
2	6	3300
3	8	3381
4	10	3360
5	13	3478
6	15	3548
7	17	3554
8	20	3537
9	22	3550
10	24	3528
11	26	3534
12	28	3485
13	30	3481
14	32	3482
15	34	3463
16	37	3450
17	39	3491
18	42	3503
19	44	3508
20	46	3505
21	48	3478
22	50	3460
23	52	3476
24	54	3454
25	56	3432
26	58	3413
27	60	3417
28	63	3416
29	64	3402
30	67	3417
31	69	3427
32	71	3413
33	73	3409
34	76	3410
35	78	3409
36	80	3410
37	83	3415
38	85	3416
39	87	3417
40	89	3421
41	92	3428
42	94	3422
43	96	3410
44	98	3411
45	101	3414
46	103	3413
47	105	3406
48	107	3408
49	109	3408
50	112	3408
51	114	3405
52	116	3393
53	117	3377
54	119	3363
55	121	3349
56	123	3336
57	125	3325
58	126	3314
59	128	3306
60	130	3295
61	132	3284
62	134	3279
63	136	3278
64	138	3279
65	141	3281
66	143	3274
67	145	3276
68	147	3278
69	150	3280
70	152	3278
71	154	3279
72	156	3280
73	158	3279
74	161	3281
75	163	3273
76	165	3268
77	167	3269
78	169	3269
79	172	3272
80	174	3274
81	176	3276
82	178	3270
83	181	3271
84	183	3267
85	185	3260
86	187	3255
87	189	3256
88	191	3258
89	194	3257
90	196	3260
91	199	3279
92	202	3277
93	204	3282
94	207	3291
95	210	3294
96	212	3293
97	214	3293
98	217	3296
99	219	3295
100	222	3298
101	224	3296
102	226	3293
103	228	3295
104	231	3294
105	233	3294
106	236	3299
107	239	3304
108	241	3302
109	243	3300
110	245	3300
111	248	3297
112	250	3295
113	252	3295
114	254	3291
115	257	3290
116	259	3287
117	261	3285
118	263	3283
119	265	3277
120	268	3281
121	270	3278
122	272	3276
123	274	3275
124	277	3273
125	279	3271
126	281	3268
127	283	3265
128	286	3263
129	287	3257
130	290	3255
131	291	3248
132	293	3244
133	295	3240
134	298	3237
135	300	3235
136	302	3232
137	304	3232
138	307	3231
139	309	3228
140	311	3225
141	313	3223
142	315	3218
143	317	3214
144	320	3213
145	322	3211
146	324	3208
147	326	3203
148	328	3203
149	330	3200
150	332	3197
151	334	3192
152	337	3190
153	339	3188
154	341	3186
155	343	3184
156	346	3184
157	348	3182
158	350	3176
159	352	3171
160	354	3167
161	356	3163
162	358	3161
163	360	3161
164	362	3157
165	364	3154
166	367	3152
167	369	3150
168	371	3148
169	373	3144
170	375	3140
171	377	3136
172	379	3134
173	381	3130
174	383	3127
175	385	3123
176	388	3122
177	390	3121
178	392	3117
179	394	3114
180	396	3108
181	398	3105
182	400	3101
183	402	3097
184	404	3095
185	406	3094
186	408	3092
187	411	3090
188	413	3088
189	415	3084
190	417	3080
191	419	3075
192	421	3075
193	423	3071
194	425	3067
195	427	3063
196	429	3060
197	431	3056
198	433	3052
199	435	3050
200	437	3046
201	439	3043
202	441	3039
203	443	3036
204	445	3032
205	447	3029
206	449	3025
207	451	3023
208	453	3022
209	455	3019
210	457	3016
211	460	3014
212	462	3012
213	464	3008
214	466	3006
215	468	3005
216	470	3002
217	472	2999
218	474	2995
219	476	2992
220	478	2990
221	481	2989
222	483	2985
223	485	2982
224	487	2978
225	488	2975
226	491	2973
227	493	2971
228	495	2968
229	497	2965
230	499	2962
231	501	2959
232	503	2957
233	505	2954
234	507	2950
235	509	2947
236	511	2942
237	513	2941
238	515	2939
239	517	2936
240	520	2935
241	522	2932
242	524	2928
243	526	2925
244	528	2924
245	530	2923
246	532	2919
247	534	2918
248	536	2914
249	538	2911
250	540	2908
251	543	2906
252	545	2906
253	547	2904
254	549	2902
255	552	2900
256	554	2898
257	556	2895
258	558	2893
259	560	2891
260	562	2888
261	564	2886
262	566	2883
263	568	2880
264	570	2876
265	572	2873
266	574	2871
267	576	2868
268	578	2865
269	580	2863
270	582	2860
271	584	2857
272	586	2854
273	588	2851
274	590	2848
275	592	2844
276	594	2841
277	596	2839
278	598	2836
279	600	2832
280	602	2829
281	604	2825
282	606	2822
283	608	2819
284	610	2817
285	612	2814
286	614	2811
287	616	2809
288	618	2806
289	620	2803
290	622	2801
291	624	2798
292	626	2796
293	628	2792
294	630	2789
295	632	2786
296	633	2783
297	636	2781
298	638	2778
299	639	2775
300	642	2772
301	643	2770
302	645	2766
303	647	2764
304	650	2762
305	652	2760
306	654	2758
307	656	2755
308	658	2753
309	660	2751
310	662	2747
311	664	2744
312	666	2742
313	668	2740
314	670	2737
315	672	2734
316	674	2733
317	677	2731
318	679	2729
319	681	2728
320	684	2729
321	686	2728
322	688	2724
323	690	2721
324	692	2718
325	694	2714
326	696	2711
327	697	2708
328	700	2707
329	702	2705
330	704	2702
331	706	2700
332	708	2697
333	710	2695
334	712	2692
335	714	2690
336	716	2686
337	718	2683
338	720	2681
339	722	2679
340	724	2677
341	726	2675
342	729	2674
343	731	2673
344	733	2671
345	735	2668
346	737	2666
347	739	2664
348	742	2661
349	744	2660
350	746	2658
351	748	2656
352	750	2653
353	752	2651
354	754	2648
355	756	2646
356	758	2643
357	760	2641
358	762	2639
359	764	2636
360	766	2634
361	769	2633
362	771	2630
363	773	2628
364	775	2626
365	777	2623
366	779	2621
367	782	2620
368	784	2618
369	786	2616
370	788	2615
371	791	2613
372	793	2611
373	795	2610
374	797	2606
375	799	2605
376	802	2603
377	803	2601
378	806	2599
379	808	2597
380	810	2595
381	812	2592
382	814	2589
383	816	2587
384	818	2584
385	820	2581
386	822	2581
387	824	2579
388	827	2577
389	829	2574
390	831	2572
391	832	2568
392	834	2565
393	836	2562
394	839	2561
395	841	2561
396	843	2558
397	845	2556
398	847	2553
399	849	2551
400	851	2549
401	853	2546
402	855	2543
403	857	2540
404	859	2538
405	862	2537
406	864	2535
407	866	2533
408	868	2531
409	870	2530
410	873	2528
411	875	2526
412	877	2525
413	879	2522
414	882	2520
415	884	2518
416	886	2517
417	889	2516
418	891	2514
419	893	2512
420	895	2511
421	898	2509
422	900	2507
423	903	2506
